College_Name,State,District,UG_Fee,PG_Fee,Ratings,Academics,Accommodation,Faculty,Infrastructure,Placement,Social_Life,Gender,12th_Percentage,Entrance_Exam_Name,Entrance_Exam_Rank,Preferred_Stream,Preferred_Course,Scholarship_Status,Application_Start_Date,Application_End_Date,Contact,Email
Delhi University,West Bengal,Kolkata,280904,326701,3.2,3,4,5,4,4,5,Female,97.5,CUET,36940,Medical,BDS,No,2025-06-27,2025-08-10,+919628035485,delhiuniversity@edu.in
IIT Delhi,Uttar Pradesh,Lucknow,54100,363744,3.1,4,4,3,5,4,4,Female,93.6,NEET,49352,Engineering,Civil,No,2025-04-02,2025-06-15,+919581730414,iitdelhi@edu.in
Christ University,Uttar Pradesh,Noida,131911,366787,4.2,3,3,3,5,3,4,Male,81.4,JEE,21508,Engineering,CSE,Yes,2025-03-16,2025-04-30,+919896347791,christuniversity@edu.in
SRM Institute,Uttar Pradesh,Lucknow,286687,342026,3.8,4,3,5,5,5,3,Female,75.6,CET,41016,Medical,BDS,Yes,2025-01-25,2025-04-18,+919317352240,srminstitute@edu.in
VIT Vellore,Tamil Nadu,Madurai,138147,190968,3.8,5,3,3,4,4,3,Male,65.8,NEET,26352,Medical,MBBS,No,2025-05-07,2025-06-26,+918826734423,vitvellore@edu.in
Anna University,Tamil Nadu,Madurai,165696,260994,3.9,4,4,5,4,5,5,Male,93.3,CUET,48689,Medical,BDS,No,2025-03-21,2025-05-09,+919057654746,annauniversity@edu.in
Mumbai University,Rajasthan,Jaipur,68175,210352,3.9,5,3,5,5,3,5,Male,97.9,JEE,15478,Arts,BJMC,No,2025-02-17,2025-03-25,+917258434163,mumbaiuniversity@edu.in
NIT Trichy,Rajasthan,Jaipur,286285,153630,4.9,3,4,3,4,3,4,Female,97.8,CET,673,Commerce,BCom,No,2025-05-07,2025-06-06,+917479082791,nittrichy@edu.in
Amity University,Gujarat,Ahmedabad,216170,307665,3.0,3,3,3,4,3,4,Female,91.2,CUET,34365,Medical,MBBS,Yes,2025-01-06,2025-04-01,+917397618211,amityuniversity@edu.in
Delhi University,Rajasthan,Jaipur,84157,359467,3.3,3,3,3,5,3,5,Female,66.6,CUET,44920,Commerce,BCom,No,2025-02-05,2025-04-14,+918440466250,delhiuniversity@edu.in
Anna University,Tamil Nadu,Madurai,199573,238121,3.0,4,5,3,5,4,3,Female,84.1,CUET,32991,Engineering,CSE,No,2025-01-20,2025-04-17,+918245597515,annauniversity@edu.in
VIT Vellore,Rajasthan,Jaipur,157803,150491,3.1,5,5,5,3,3,4,Female,76.4,JEE,48569,Commerce,BBA,No,2025-02-08,2025-03-17,+919832465233,vitvellore@edu.in
Amity University,West Bengal,Kolkata,173990,268694,4.9,5,4,3,5,5,4,Female,85.4,CET,22027,Medical,BDS,No,2025-04-16,2025-06-21,+918783404204,amityuniversity@edu.in
Christ University,West Bengal,Kolkata,210127,111680,3.6,4,5,4,5,4,4,Male,70.5,CET,5760,Commerce,BCom,Yes,2025-01-13,2025-03-17,+917446493738,christuniversity@edu.in
Delhi University,Delhi,New Delhi,213809,353815,4.6,5,4,4,4,5,4,Male,76.3,CET,29751,Commerce,BCom,No,2025-05-27,2025-06-27,+918569095024,delhiuniversity@edu.in
Mumbai University,Uttar Pradesh,Lucknow,250928,327001,3.3,3,5,4,3,3,4,Female,85.4,CET,29773,Engineering,ECE,No,2025-05-08,2025-08-02,+918009005513,mumbaiuniversity@edu.in
BITS Pilani,Delhi,New Delhi,295735,249986,3.8,5,4,5,3,4,3,Male,92.3,JEE,11716,Commerce,BCom,Yes,2025-06-16,2025-09-12,+918576003667,bitspilani@edu.in
NIT Trichy,Gujarat,Surat,288375,185904,4.4,4,5,3,3,4,4,Male,97.6,JEE,26378,Arts,BJMC,Yes,2025-06-21,2025-08-04,+919247089324,nittrichy@edu.in
Delhi University,Rajasthan,Jaipur,116550,294479,3.8,4,4,5,3,5,3,Female,80.5,CUET,30262,Engineering,Mechanical,No,2025-01-25,2025-04-18,+917932033104,delhiuniversity@edu.in
SRM Institute,Uttar Pradesh,Lucknow,125460,352665,4.8,5,3,5,3,5,4,Female,81.8,NEET,4207,Arts,BJMC,No,2025-06-25,2025-09-23,+919240566512,srminstitute@edu.in
IIT Bombay,Delhi,New Delhi,259728,152192,3.5,4,3,5,3,4,3,Female,66.9,NEET,14938,Medical,BDS,No,2025-06-04,2025-07-05,+919124731710,iitbombay@edu.in
Amity University,Gujarat,Ahmedabad,81059,293368,4.9,3,4,3,3,3,4,Female,89.3,CUET,32290,Medical,MBBS,Yes,2025-01-17,2025-03-28,+917423239163,amityuniversity@edu.in
Amity University,Delhi,New Delhi,275376,363254,4.5,4,4,5,5,3,4,Female,89.5,CUET,26753,Engineering,Mechanical,Yes,2025-05-25,2025-08-13,+919123115005,amityuniversity@edu.in
SRM Institute,Karnataka,Mysore,253011,392029,4.4,4,4,4,4,4,3,Female,80.5,NEET,4841,Engineering,ECE,No,2025-04-27,2025-06-22,+917201686027,srminstitute@edu.in
IIT Delhi,Rajasthan,Jaipur,294672,188796,3.9,5,4,4,5,4,5,Male,68.5,NEET,29083,Medical,MBBS,Yes,2025-06-07,2025-07-10,+919726289152,iitdelhi@edu.in
BITS Pilani,Uttar Pradesh,Lucknow,108146,100654,4.8,5,3,5,3,4,5,Female,83.9,CET,29008,Medical,BDS,No,2025-02-07,2025-04-18,+918319724556,bitspilani@edu.in
SRM Institute,Delhi,New Delhi,65756,248311,3.5,3,3,4,4,5,3,Female,70.2,CUET,47968,Arts,BA,No,2025-03-01,2025-05-09,+919481320307,srminstitute@edu.in
NIT Trichy,Uttar Pradesh,Lucknow,52463,228166,3.3,5,4,4,3,5,5,Female,93.1,CUET,22751,Arts,BJMC,No,2025-02-11,2025-04-09,+918182185126,nittrichy@edu.in
VIT Vellore,Gujarat,Ahmedabad,172150,320683,3.6,4,4,3,4,4,5,Male,71.4,CET,20218,Engineering,CSE,Yes,2025-01-18,2025-03-21,+917718762187,vitvellore@edu.in
Mumbai University,West Bengal,Kolkata,198636,115381,4.3,4,4,4,3,3,5,Female,94.7,JEE,11450,Engineering,CSE,No,2025-04-24,2025-06-04,+919728491835,mumbaiuniversity@edu.in
BITS Pilani,Rajasthan,Jaipur,125824,103354,4.7,3,3,4,5,3,4,Male,75.5,CUET,1458,Engineering,ECE,No,2025-04-16,2025-06-09,+918749934686,bitspilani@edu.in
Anna University,Rajasthan,Jaipur,88818,139305,4.9,5,3,4,5,3,4,Female,80.1,CUET,11343,Medical,MBBS,Yes,2025-01-28,2025-03-01,+918746162292,annauniversity@edu.in
VIT Vellore,Karnataka,Mysore,234165,312668,3.3,4,5,4,5,4,3,Female,83.3,CET,10969,Engineering,Mechanical,No,2025-05-25,2025-07-27,+919264993358,vitvellore@edu.in
NIT Trichy,Uttar Pradesh,Lucknow,228098,77394,4.8,5,5,5,4,4,4,Male,68.0,JEE,38886,Commerce,BBA,No,2025-02-06,2025-05-02,+918484086922,nittrichy@edu.in
Mumbai University,Tamil Nadu,Madurai,144746,234698,4.6,4,5,5,5,5,4,Male,79.8,CET,46547,Commerce,BBA,Yes,2025-03-23,2025-05-04,+918340888366,mumbaiuniversity@edu.in
NIT Trichy,Punjab,Chandigarh,199144,385982,3.2,5,5,4,3,5,4,Female,73.5,CUET,11989,Medical,MBBS,Yes,2025-06-24,2025-08-18,+917363547145,nittrichy@edu.in
Delhi University,Delhi,New Delhi,70234,141427,4.4,4,3,5,3,5,3,Female,71.3,CUET,1791,Arts,BJMC,Yes,2025-03-25,2025-04-30,+918814855401,delhiuniversity@edu.in
Jadavpur University,Uttar Pradesh,Noida,219197,116911,3.1,3,4,5,3,5,4,Male,95.0,CUET,33366,Commerce,BCom,No,2025-05-03,2025-06-03,+919893107065,jadavpuruniversity@edu.in
Delhi University,West Bengal,Kolkata,125769,92605,3.2,4,4,3,3,5,5,Male,84.9,JEE,22275,Commerce,BCom,No,2025-02-17,2025-04-18,+919760142867,delhiuniversity@edu.in
Jadavpur University,Rajasthan,Jaipur,281959,380614,4.3,5,5,5,3,3,3,Female,68.2,CUET,5508,Arts,BJMC,Yes,2025-05-23,2025-08-13,+918088735793,jadavpuruniversity@edu.in
VIT Vellore,Tamil Nadu,Chennai,101943,335051,3.1,3,4,5,5,5,3,Male,95.2,JEE,11770,Commerce,BCom,No,2025-03-22,2025-06-17,+917017939575,vitvellore@edu.in
BITS Pilani,Karnataka,Mysore,233066,375458,4.5,4,4,4,5,3,4,Male,75.1,CET,15034,Medical,BDS,Yes,2025-01-07,2025-02-09,+919710055748,bitspilani@edu.in
VIT Vellore,Punjab,Chandigarh,156792,151090,4.7,4,5,4,4,3,5,Male,92.2,CET,35116,Arts,BA,No,2025-03-03,2025-04-05,+919887327967,vitvellore@edu.in
Mumbai University,Delhi,New Delhi,151034,232828,5.0,4,5,4,4,5,3,Male,76.7,CUET,4945,Medical,BDS,Yes,2025-01-17,2025-02-23,+917570438145,mumbaiuniversity@edu.in
IIT Delhi,Karnataka,Bangalore,66765,214595,3.1,5,5,5,3,5,3,Male,89.6,CET,1514,Engineering,CSE,No,2025-05-15,2025-06-15,+919711437999,iitdelhi@edu.in
Amity University,Delhi,New Delhi,196915,148587,3.3,5,3,3,5,5,4,Male,92.9,JEE,35292,Arts,BA,No,2025-02-20,2025-05-01,+919394755109,amityuniversity@edu.in
Jadavpur University,Delhi,New Delhi,163842,168388,4.1,4,4,3,4,3,5,Male,85.4,JEE,48267,Arts,BJMC,Yes,2025-03-03,2025-04-21,+917277391669,jadavpuruniversity@edu.in
SRM Institute,Maharashtra,Nagpur,78096,167999,3.6,3,3,3,4,5,4,Male,69.5,CUET,16215,Medical,MBBS,Yes,2025-01-03,2025-03-20,+918629207739,srminstitute@edu.in
IIT Bombay,Maharashtra,Nagpur,175548,122357,4.0,4,3,4,4,5,3,Female,90.8,NEET,16831,Arts,BA,Yes,2025-04-12,2025-05-23,+917148877643,iitbombay@edu.in
BITS Pilani,Uttar Pradesh,Lucknow,276113,165676,4.1,5,3,3,4,5,5,Female,89.7,CET,45696,Arts,BA,No,2025-02-28,2025-05-02,+917459273357,bitspilani@edu.in
Delhi University,West Bengal,Kolkata,130193,326942,4.6,5,4,4,3,4,4,Male,70.9,CUET,49318,Engineering,ECE,Yes,2025-03-19,2025-05-05,+919385163207,delhiuniversity@edu.in
Anna University,Delhi,New Delhi,268629,93848,3.5,5,5,4,5,3,5,Male,82.0,NEET,40710,Commerce,BCom,Yes,2025-02-05,2025-03-19,+919723362809,annauniversity@edu.in
Jadavpur University,Uttar Pradesh,Lucknow,280939,395326,4.0,3,3,5,4,5,5,Female,73.2,CET,28449,Commerce,BCom,No,2025-01-04,2025-02-03,+918076399300,jadavpuruniversity@edu.in
BITS Pilani,Rajasthan,Jaipur,242689,237330,3.4,4,4,3,5,3,5,Female,86.0,NEET,8549,Medical,BDS,No,2025-01-12,2025-02-19,+919158406447,bitspilani@edu.in
IIT Bombay,Rajasthan,Jaipur,143069,95803,4.1,3,3,5,5,3,3,Male,86.4,JEE,43443,Arts,BJMC,Yes,2025-03-17,2025-04-16,+917558547978,iitbombay@edu.in
IIT Bombay,West Bengal,Kolkata,103586,263377,3.6,4,4,4,5,3,4,Male,70.5,CET,11610,Engineering,CSE,No,2025-03-12,2025-05-05,+918694816528,iitbombay@edu.in
Anna University,Gujarat,Surat,138614,391500,4.4,5,4,5,4,5,5,Female,75.6,CET,34158,Engineering,CSE,Yes,2025-02-05,2025-03-13,+918869283375,annauniversity@edu.in
Anna University,Rajasthan,Jaipur,151746,227559,4.1,5,3,3,3,5,5,Male,94.5,CET,3148,Arts,BA,No,2025-01-08,2025-04-05,+917571261593,annauniversity@edu.in
NIT Trichy,Punjab,Chandigarh,287838,271293,4.9,5,5,3,3,5,4,Female,68.2,JEE,47011,Engineering,Civil,Yes,2025-04-07,2025-05-19,+917821921466,nittrichy@edu.in
Anna University,Tamil Nadu,Chennai,75860,200799,4.0,3,5,4,5,4,4,Male,71.5,JEE,49590,Medical,BDS,Yes,2025-05-10,2025-08-02,+918257223904,annauniversity@edu.in
Jadavpur University,Punjab,Chandigarh,134001,306642,4.1,3,4,5,5,3,4,Male,67.6,CUET,49329,Engineering,Mechanical,No,2025-03-06,2025-04-12,+918809140715,jadavpuruniversity@edu.in
IIT Delhi,Tamil Nadu,Chennai,272236,376704,4.6,4,3,4,3,4,5,Female,88.0,CUET,48825,Medical,MBBS,Yes,2025-01-27,2025-03-26,+917553403127,iitdelhi@edu.in
SRM Institute,West Bengal,Kolkata,275474,176994,4.3,5,5,4,5,4,4,Female,82.4,CET,4410,Commerce,BBA,Yes,2025-05-26,2025-07-02,+918737926260,srminstitute@edu.in
Christ University,West Bengal,Kolkata,95011,303706,4.0,3,3,4,3,5,5,Female,95.0,NEET,12305,Engineering,ECE,No,2025-01-23,2025-03-09,+919628822714,christuniversity@edu.in
NIT Trichy,Tamil Nadu,Madurai,134824,194298,4.1,5,5,3,4,4,4,Male,97.9,NEET,5547,Commerce,BBA,Yes,2025-02-28,2025-05-17,+917438073145,nittrichy@edu.in
NIT Trichy,Tamil Nadu,Chennai,140532,300006,4.4,4,4,5,4,3,4,Female,76.3,NEET,41303,Arts,BA,No,2025-02-16,2025-05-04,+918966429228,nittrichy@edu.in
SRM Institute,West Bengal,Kolkata,153802,388983,3.2,5,4,3,3,3,4,Male,76.0,NEET,39005,Arts,BA,No,2025-06-12,2025-08-26,+918464851253,srminstitute@edu.in
Anna University,Gujarat,Ahmedabad,299182,172645,4.9,5,4,3,4,4,5,Female,85.3,JEE,35194,Engineering,Mechanical,No,2025-05-12,2025-07-14,+919136990222,annauniversity@edu.in
VIT Vellore,Maharashtra,Nagpur,275971,396413,3.9,5,5,3,5,5,3,Female,65.7,CUET,49890,Arts,BJMC,Yes,2025-01-14,2025-03-06,+917612725360,vitvellore@edu.in
BITS Pilani,Delhi,New Delhi,228816,130106,3.3,5,5,4,5,4,4,Male,68.9,CUET,29660,Medical,BDS,No,2025-02-24,2025-05-09,+918555911339,bitspilani@edu.in
NIT Trichy,West Bengal,Kolkata,249714,358917,3.6,5,3,3,3,3,3,Male,95.4,NEET,35680,Engineering,Mechanical,No,2025-02-16,2025-03-28,+917149403657,nittrichy@edu.in
IIT Delhi,Maharashtra,Nagpur,209959,97633,4.8,4,3,3,5,3,3,Female,65.6,CET,4488,Medical,BDS,No,2025-04-22,2025-05-23,+917109429878,iitdelhi@edu.in
SRM Institute,Uttar Pradesh,Noida,215749,254084,3.3,5,3,5,3,5,4,Female,94.8,JEE,46195,Medical,BDS,Yes,2025-05-14,2025-07-22,+917931324977,srminstitute@edu.in
VIT Vellore,Punjab,Chandigarh,62337,290494,4.2,3,5,3,4,4,4,Female,86.5,NEET,1597,Medical,BDS,Yes,2025-06-14,2025-08-27,+918854567462,vitvellore@edu.in
IIT Delhi,Maharashtra,Mumbai,184581,187769,4.6,3,4,4,3,5,4,Male,78.5,NEET,41657,Arts,BJMC,Yes,2025-01-08,2025-02-09,+917674286603,iitdelhi@edu.in
NIT Trichy,Tamil Nadu,Coimbatore,207428,122355,3.4,4,5,4,4,3,5,Male,96.2,JEE,14823,Commerce,BCom,Yes,2025-04-02,2025-05-16,+919330385830,nittrichy@edu.in
BITS Pilani,Gujarat,Ahmedabad,51376,192483,3.2,4,4,5,5,3,3,Female,68.3,CET,26513,Commerce,BCom,No,2025-04-08,2025-06-04,+919978293794,bitspilani@edu.in
IIT Delhi,Punjab,Chandigarh,172764,170010,4.1,5,5,4,3,5,4,Male,65.2,CUET,15929,Engineering,CSE,No,2025-04-10,2025-06-27,+918849761049,iitdelhi@edu.in
BITS Pilani,Uttar Pradesh,Lucknow,141782,263494,4.4,4,5,4,5,3,5,Male,86.7,NEET,36605,Engineering,Civil,No,2025-04-19,2025-05-22,+918318968039,bitspilani@edu.in
BITS Pilani,Uttar Pradesh,Lucknow,230915,330025,4.9,3,4,3,3,5,5,Male,76.5,CUET,34225,Commerce,BBA,No,2025-03-20,2025-05-11,+917892466666,bitspilani@edu.in
Anna University,Punjab,Chandigarh,119375,163399,3.8,5,5,4,4,4,3,Male,77.7,JEE,1798,Arts,BJMC,No,2025-01-08,2025-02-07,+918943494816,annauniversity@edu.in
Christ University,West Bengal,Kolkata,60283,217401,3.7,3,5,5,4,5,5,Male,89.4,NEET,36812,Engineering,CSE,No,2025-05-07,2025-06-20,+917657730705,christuniversity@edu.in
Jadavpur University,West Bengal,Kolkata,290220,360124,4.1,3,3,4,5,3,5,Male,97.9,CET,49960,Arts,BA,Yes,2025-04-18,2025-06-14,+918866517574,jadavpuruniversity@edu.in
Christ University,Karnataka,Bangalore,101755,188158,4.7,5,5,4,5,4,5,Male,82.0,JEE,10142,Engineering,ECE,Yes,2025-06-26,2025-08-08,+919338210878,christuniversity@edu.in
IIT Bombay,Punjab,Chandigarh,80171,115049,5.0,4,4,5,3,4,3,Male,82.1,CET,2617,Engineering,ECE,No,2025-03-13,2025-06-06,+919610690513,iitbombay@edu.in
Jadavpur University,Tamil Nadu,Madurai,128423,300961,3.1,5,4,3,4,4,5,Male,84.4,CUET,35199,Medical,MBBS,No,2025-02-15,2025-04-07,+919140712655,jadavpuruniversity@edu.in
Mumbai University,West Bengal,Kolkata,52548,148877,3.1,5,4,3,3,3,4,Female,83.0,JEE,47354,Commerce,BBA,No,2025-04-08,2025-05-11,+919507801652,mumbaiuniversity@edu.in
IIT Delhi,Rajasthan,Jaipur,199825,191182,3.7,5,3,4,5,4,5,Male,93.9,JEE,37865,Medical,BDS,No,2025-06-27,2025-07-30,+919422906782,iitdelhi@edu.in
IIT Bombay,Rajasthan,Jaipur,157647,312862,4.2,4,4,5,5,4,3,Female,65.9,JEE,26898,Engineering,CSE,Yes,2025-05-12,2025-07-19,+917802605951,iitbombay@edu.in
IIT Delhi,Maharashtra,Mumbai,166615,193120,4.6,4,5,3,5,5,4,Female,69.5,CET,33629,Medical,MBBS,No,2025-05-12,2025-07-19,+919061737621,iitdelhi@edu.in
Delhi University,Maharashtra,Pune,100520,288553,3.5,4,4,4,4,4,4,Female,81.8,JEE,24315,Commerce,BBA,Yes,2025-03-24,2025-05-18,+919354157814,delhiuniversity@edu.in
BITS Pilani,Delhi,New Delhi,72055,104117,4.6,4,4,3,4,3,5,Female,92.2,CUET,23422,Medical,MBBS,No,2025-03-12,2025-05-31,+918462518145,bitspilani@edu.in
Amity University,Uttar Pradesh,Lucknow,86190,354987,4.9,4,4,4,3,5,5,Female,91.0,JEE,5367,Medical,BDS,No,2025-05-11,2025-07-04,+918611222794,amityuniversity@edu.in
Mumbai University,Gujarat,Ahmedabad,174613,328844,4.2,5,4,3,3,5,3,Male,97.7,CET,25268,Commerce,BCom,No,2025-06-21,2025-08-31,+919798083249,mumbaiuniversity@edu.in
VIT Vellore,Tamil Nadu,Chennai,57093,143872,3.9,4,3,5,3,3,3,Male,73.3,CET,25644,Medical,BDS,Yes,2025-01-15,2025-03-28,+918631501110,vitvellore@edu.in
Jadavpur University,Tamil Nadu,Madurai,67551,259984,4.1,3,4,5,4,4,5,Female,76.3,CET,1491,Arts,BA,Yes,2025-01-12,2025-03-13,+918535858645,jadavpuruniversity@edu.in
BITS Pilani,Uttar Pradesh,Noida,72347,397976,4.9,3,4,3,5,5,5,Male,87.3,CET,16379,Arts,BJMC,Yes,2025-02-22,2025-04-17,+918511784244,bitspilani@edu.in
NIT Trichy,Uttar Pradesh,Noida,96163,169453,3.8,5,5,5,3,4,4,Female,74.4,JEE,23389,Medical,MBBS,No,2025-06-05,2025-07-17,+917890408381,nittrichy@edu.in
IIT Delhi,Tamil Nadu,Chennai,65173,203022,3.2,5,3,3,3,3,4,Male,93.8,CET,46493,Arts,BJMC,No,2025-05-20,2025-07-06,+918338538439,iitdelhi@edu.in
Delhi University,Karnataka,Bangalore,101660,338260,3.7,4,4,5,4,3,3,Female,93.8,CUET,11482,Medical,MBBS,No,2025-04-07,2025-06-15,+919709396339,delhiuniversity@edu.in
Jadavpur University,Rajasthan,Jaipur,269331,395015,4.5,5,5,3,3,5,5,Male,93.2,JEE,11705,Medical,MBBS,Yes,2025-02-04,2025-03-16,+917971559872,jadavpuruniversity@edu.in
IIT Delhi,Maharashtra,Nagpur,96528,177136,3.4,3,5,4,4,3,4,Male,88.4,CET,23888,Commerce,BCom,Yes,2025-04-10,2025-05-12,+917628578617,iitdelhi@edu.in
SRM Institute,Maharashtra,Pune,283826,151268,3.1,5,4,4,5,4,5,Female,86.9,CUET,19631,Medical,MBBS,No,2025-06-17,2025-07-27,+917296171899,srminstitute@edu.in
NIT Trichy,Punjab,Chandigarh,98276,119791,4.4,5,5,5,5,4,4,Female,69.4,CUET,12289,Medical,BDS,Yes,2025-01-28,2025-04-04,+918310538955,nittrichy@edu.in
IIT Delhi,Gujarat,Ahmedabad,269752,91381,3.6,4,4,3,5,3,3,Male,71.7,NEET,44183,Medical,BDS,No,2025-04-04,2025-05-04,+918819746170,iitdelhi@edu.in
VIT Vellore,Punjab,Chandigarh,148786,80605,3.2,4,3,5,5,4,3,Male,96.7,NEET,17144,Medical,MBBS,No,2025-01-02,2025-02-04,+919133987745,vitvellore@edu.in
Delhi University,Rajasthan,Jaipur,90982,134271,3.9,5,5,3,4,4,5,Female,91.1,CET,1557,Medical,BDS,Yes,2025-04-25,2025-07-14,+918986827659,delhiuniversity@edu.in
Delhi University,Rajasthan,Jaipur,128705,264061,4.1,5,4,5,4,4,5,Female,72.3,JEE,47206,Arts,BA,Yes,2025-05-20,2025-06-24,+918141259467,delhiuniversity@edu.in
Delhi University,Gujarat,Ahmedabad,134205,133971,3.6,4,4,3,4,4,5,Male,81.5,NEET,13352,Engineering,Civil,Yes,2025-04-28,2025-07-26,+919054801453,delhiuniversity@edu.in
NIT Trichy,Delhi,New Delhi,71024,305253,4.8,4,4,3,4,3,4,Female,80.3,JEE,24531,Engineering,CSE,No,2025-01-07,2025-02-19,+917549112484,nittrichy@edu.in
Anna University,Karnataka,Bangalore,206158,174701,4.4,3,3,4,5,4,5,Female,79.0,NEET,45366,Engineering,CSE,No,2025-01-01,2025-03-04,+917286751383,annauniversity@edu.in
Christ University,Rajasthan,Jaipur,198626,272073,3.4,4,4,4,4,3,3,Male,73.7,CET,20804,Engineering,ECE,No,2025-06-08,2025-08-04,+918392875676,christuniversity@edu.in
IIT Delhi,Karnataka,Mysore,231390,220943,3.5,3,5,4,4,3,5,Female,89.6,CET,2145,Engineering,ECE,No,2025-06-02,2025-08-01,+919202102174,iitdelhi@edu.in
Anna University,Uttar Pradesh,Noida,235626,112118,4.2,5,4,5,4,3,3,Female,69.8,CET,42130,Arts,BA,No,2025-06-15,2025-08-25,+919265190786,annauniversity@edu.in
Jadavpur University,Karnataka,Bangalore,279076,154583,4.2,3,5,3,5,3,4,Male,87.9,CUET,31556,Commerce,BBA,No,2025-02-01,2025-05-02,+918334148081,jadavpuruniversity@edu.in
VIT Vellore,Uttar Pradesh,Lucknow,264467,203055,3.6,3,3,3,3,4,4,Male,75.0,JEE,18826,Medical,MBBS,No,2025-06-10,2025-07-28,+918091887133,vitvellore@edu.in
Delhi University,Karnataka,Mysore,204588,85004,4.7,4,4,3,5,3,4,Male,89.1,NEET,4902,Medical,MBBS,No,2025-02-28,2025-04-24,+918111989396,delhiuniversity@edu.in
Christ University,Tamil Nadu,Chennai,295390,203792,4.8,4,4,3,5,3,3,Male,71.7,JEE,33798,Medical,MBBS,Yes,2025-01-27,2025-03-26,+919304208774,christuniversity@edu.in
VIT Vellore,Uttar Pradesh,Lucknow,223576,339913,3.8,4,5,5,4,3,5,Female,69.4,CET,21786,Commerce,BBA,Yes,2025-06-17,2025-08-24,+918292234797,vitvellore@edu.in
Anna University,Maharashtra,Pune,202924,138200,3.9,3,3,4,4,4,5,Male,79.4,NEET,12878,Commerce,BBA,Yes,2025-04-23,2025-07-11,+919755985381,annauniversity@edu.in
Anna University,West Bengal,Kolkata,270438,291829,4.3,4,3,3,5,3,5,Female,75.2,NEET,27115,Engineering,ECE,Yes,2025-06-09,2025-08-31,+918216256469,annauniversity@edu.in
Delhi University,Rajasthan,Jaipur,274983,363633,3.7,4,4,4,5,5,3,Male,69.6,NEET,47208,Engineering,CSE,No,2025-04-12,2025-06-20,+917779063724,delhiuniversity@edu.in
Anna University,Karnataka,Bangalore,110110,337071,4.7,5,4,4,3,5,4,Male,92.4,JEE,1757,Engineering,Mechanical,Yes,2025-02-14,2025-05-10,+919807327020,annauniversity@edu.in
Delhi University,Gujarat,Ahmedabad,191446,201153,4.8,5,4,3,5,5,4,Male,82.4,CUET,1328,Medical,BDS,No,2025-04-16,2025-05-29,+918136247761,delhiuniversity@edu.in
Mumbai University,Maharashtra,Mumbai,81079,218308,4.1,3,3,3,4,3,4,Male,69.8,NEET,4440,Medical,BDS,Yes,2025-05-05,2025-06-08,+917285580016,mumbaiuniversity@edu.in
Anna University,Punjab,Chandigarh,87945,388062,4.8,5,4,3,3,3,4,Male,69.7,NEET,3915,Commerce,BCom,No,2025-01-25,2025-02-26,+918744707721,annauniversity@edu.in
Amity University,Gujarat,Ahmedabad,182045,260091,5.0,3,4,3,4,4,4,Male,85.3,CET,11236,Engineering,ECE,Yes,2025-01-25,2025-03-15,+918671659855,amityuniversity@edu.in
Mumbai University,Delhi,New Delhi,259214,100249,3.1,5,4,3,4,5,3,Male,91.9,NEET,20892,Medical,BDS,No,2025-06-27,2025-09-03,+919638387031,mumbaiuniversity@edu.in
BITS Pilani,Tamil Nadu,Coimbatore,152807,363457,3.5,4,3,3,3,5,4,Male,83.2,CET,33754,Engineering,CSE,No,2025-03-19,2025-05-23,+919558632730,bitspilani@edu.in
Anna University,Karnataka,Mysore,292912,391058,3.8,4,3,4,4,4,5,Male,69.8,NEET,26194,Engineering,CSE,No,2025-02-21,2025-05-12,+919736881560,annauniversity@edu.in
Christ University,Punjab,Chandigarh,225974,180215,4.4,5,5,5,4,4,3,Female,88.8,CET,11237,Medical,BDS,Yes,2025-02-09,2025-03-15,+917394349311,christuniversity@edu.in
Anna University,Delhi,New Delhi,198356,89039,3.3,3,3,5,3,3,5,Female,74.3,NEET,47543,Engineering,ECE,No,2025-05-09,2025-07-30,+919440472316,annauniversity@edu.in
Jadavpur University,Uttar Pradesh,Noida,296395,151727,3.3,3,3,3,3,4,4,Male,73.5,JEE,11267,Medical,BDS,No,2025-04-05,2025-05-26,+919268485382,jadavpuruniversity@edu.in
Mumbai University,Uttar Pradesh,Noida,223294,134234,5.0,4,4,3,4,4,5,Male,71.3,CUET,6498,Commerce,BCom,Yes,2025-02-27,2025-04-06,+919261351569,mumbaiuniversity@edu.in
Mumbai University,Uttar Pradesh,Lucknow,76455,86764,3.8,5,5,3,3,3,4,Female,95.6,CET,20652,Commerce,BCom,No,2025-02-03,2025-04-10,+918861138872,mumbaiuniversity@edu.in
VIT Vellore,Karnataka,Mysore,88693,388773,4.6,4,5,5,4,5,5,Male,70.5,NEET,34715,Medical,MBBS,Yes,2025-03-09,2025-05-21,+918681694291,vitvellore@edu.in
IIT Delhi,Uttar Pradesh,Noida,139824,353554,4.7,3,3,5,5,4,5,Female,77.9,CET,38029,Medical,MBBS,No,2025-06-04,2025-09-01,+919501928973,iitdelhi@edu.in
Mumbai University,Uttar Pradesh,Lucknow,53120,359314,4.7,3,5,3,5,4,5,Male,93.9,NEET,11912,Engineering,Mechanical,No,2025-02-28,2025-04-14,+918976119053,mumbaiuniversity@edu.in
BITS Pilani,Punjab,Chandigarh,285849,268299,3.4,4,3,3,5,3,3,Male,87.8,CUET,18043,Commerce,BCom,Yes,2025-03-27,2025-05-27,+917579955345,bitspilani@edu.in
